"worker","dateTime","Total","visqlServer1","visqlServer2"
w1,"03/05/2015 4:34:38.771","93630464","33075200","51105792"
w1,"03/05/2015 7:34:53.738","93640464","31075200","51205792"
w1,"03/05/2015 12:35:08.736","93630464","33075200","51105792"
w1,"03/05/2015 10:35:23.729","93630464","33075200","51105792"
w1,"03/05/2015 17:35:38.733","93630464","33075200","51105792"
w1,"03/05/2015 21:35:53.734","93630464","33075200","51105792"
w1,"03/05/2015 02:36:08.734","93630464","33075200","51105792"
w1,"03/05/2015 03:36:23.728","93630464","33075200","51105792"
w1,"04/05/2015 4:34:38.771","93630464","34075200","61105792"
w1,"04/05/2015 7:34:53.738",93630464,35075200,51706381
w1,"04/05/2015 12:35:08.736","93630464","33075200","51105792"
w1,"04/05/2015 16:35:23.729","93630464","33075200","51105792"
w1,"04/05/2015 17:35:38.733","93630464","33075200","51105792"
w1,"04/05/2015 21:35:53.734","93630464","33075200","51105792"
w1,"04/05/2015 02:36:08.734","93630464","33075200","51105792"
w1,"04/05/2015 03:36:23.728","93630464","33075200","51105792"
w1,"03/05/2015 15:36:38.729","93630464","33075200","51105792"
w1,"03/05/2015 15:36:53.734","93630464","33075200","51068928"
w1,"04/05/2015 15:37:08.730","93630464","33075200","51068928"
w1,"04/05/2015 15:37:23.736","93630464","33075200","51068928"
